GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A57AA,A57AB,A57AC,A57AD
"G010","1970","Alabama","01","010","Alabama",2011941,1280325,731616,1432224
"G020","1970","Alaska","02","020","Alaska",145512,0,145512,154870
"G040","1970","Arizona","04","040","Arizona",1408864,1157541,251323,362036
"G050","1970","Arkansas","05","050","Arkansas",960865,378624,582241,962430
"G060","1970","California","06","060","California",18136045,16147770,1988275,1817089
"G080","1970","Colorado","08","080","Colorado",1733311,1424011,309300,473948
"G090","1970","Connecticut","09","090","Connecticut",2345052,2101658,243394,686657
"G100","1970","Delaware","10","100","Delaware",395569,349674,45895,152535
"G110","1970","District Of Columbia","11","110","District Of Columbia",756510,756510,0,0
"G120","1970","Florida","12","120","Florida",5468137,4133783,1334354,1321306
"G130","1970","Georgia","13","130","Georgia",2768074,1880160,887914,1821501
"G150","1970","Hawaii","15","150","Hawaii",638683,442397,196286,129878
"G160","1970","Idaho","16","160","Idaho",385434,85187,300247,327133
"G170","1970","Illinois","17","170","Illinois",9229821,7873782,1356039,1884155
"G180","1970","Indiana","18","180","Indiana",3372060,2395133,976927,1821609
"G190","1970","Iowa","19","190","Iowa",1616405,842154,774251,1207971
"G200","1970","Kansas","20","200","Kansas",1484870,785933,698937,761708
"G210","1970","Kentucky","21","210","Kentucky",1684053,1120873,563180,1534653
"G220","1970","Louisiana","22","220","Louisiana",2406150,1703126,703024,1235156
"G230","1970","Maine","23","230","Maine",504157,171811,332346,487891
"G240","1970","Maryland","24","240","Maryland",3003935,2588919,415016,918464
"G250","1970","Massachusetts","25","250","Massachusetts",4810449,4334196,476253,878721
"G260","1970","Michigan","26","260","Michigan",6553773,5658843,894930,2321310
"G270","1970","Minnesota","27","270","Minnesota",2527308,1901834,625474,1277663
"G280","1970","Mississippi","28","280","Mississippi",986642,320592,666050,1230270
"G290","1970","Missouri","29","290","Missouri",3277662,2576558,701104,1398839
"G300","1970","Montana","30","300","Montana",370676,142102,228574,323733
"G310","1970","Nebraska","31","310","Nebraska",912598,588292,324306,570895
"G320","1970","Nevada","32","320","Nevada",395336,336368,58968,93402
"G330","1970","New Hampshire","33","330","New Hampshire",416040,173943,242097,321641
"G340","1970","New Jersey","34","340","New Jersey",6373405,6078372,295033,794759
"G350","1970","New Mexico","35","350","New Mexico",700790,297451,403339,315210
"G360","1970","New York","36","360","New York",15602486,14267804,1334682,2634481
"G370","1970","North Carolina","37","370","North Carolina",2283287,1210551,1072736,2798772
"G380","1970","North Dakota","38","380","North Dakota",273442,53420,220022,344319
"G390","1970","Ohio","39","390","Ohio",8025775,6642374,1383401,2626242
"G400","1970","Oklahoma","40","400","Oklahoma",1740137,1049072,691065,819092
"G410","1970","Oregon","41","410","Oregon",1402704,984052,418652,688681
"G420","1970","Pennsylvania","42","420","Pennsylvania",8430410,6921979,1508431,3363499
"G440","1970","Rhode Island","44","440","Rhode Island",824930,745238,79692,121795
